,Crude oil balance of trade (Mt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Back to list of tables
Globally/Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,,,
Pacific,2.1,0.7,2.1,4.9,5.8,5.5,7.9,7.6,6.4,9.7,3.3,0.7,4.5,7.8,7.3,11.1,11.5,10.0,9.5,7.6,10.5,13.9,14.4,15.1,14.7,11.9,10.2,11.5,13.1,11.1,5.3,,,
Australia,4.3,3.3,5.0,7.7,8.6,7.3,10.3,8.9,6.9,11.1,3.5,0.4,3.2,6.0,4.9,8.4,9.2,7.6,8.3,6.3,7.2,9.8,9.7,11.4,10.8,7.7,4.9,6.1,7.6,5.7,0.9,,,
New Zealand,2.3,2.3,2.3,2.5,2.8,2.9,2.7,2.3,3.3,3.2,3.5,3.4,3.9,4.3,4.0,4.2,4.1,3.1,2.4,2.5,2.7,3.2,3.6,3.8,3.5,3.6,3.9,4.0,4.2,4.1,3.3,,,
Africa,-201.5,-214.8,-216.2,-215.2,-216.2,-219.9,-232.8,-240.2,-241.8,-236.5,-256.8,-247.8,-249.4,-283.8,-322.2,-336.9,-351.4,-365.2,-360.2,-345.5,-362.4,-290.6,-332.9,-295.6,-262.2,-275.1,-247.1,-268.3,-273.8,-282.0,-243.0,,,
Algeria,-31.1,-30.5,-29.7,-30.7,-30.8,-30.6,-34.1,-33.0,-34.6,-34.3,-37.0,-35.7,-39.9,-48.0,-54.6,-58.5,-57.0,-55.8,-51.7,-44.9,-38.7,-38.2,-36.7,-33.4,-28.1,-28.9,-30.2,-28.7,-25.8,-26.4,-23.6,,,
Egypt,-19.6,-18.2,-20.1,-19.9,-17.8,-17.1,-14.4,-12.5,-11.0,-13.0,-9.9,-4.9,-4.8,-4.7,-1.0,0.4,0.6,0.9,-2.6,-2.9,-5.7,-7.4,-6.6,-9.0,-7.2,-9.2,-5.4,-4.5,-4.4,-3.1,0.0,,,
Nigeria,-74.9,-77.9,-82.2,-83.5,-87.8,-87.9,-96.5,-105.8,-98.0,-98.1,-110.0,-108.7,-93.3,-111.5,-123.2,-118.7,-115.5,-112.7,-103.3,-108.0,-122.3,-116.7,-118.4,-104.6,-106.3,-105.8,-88.4,-89.0,-93.2,-98.7,-84.4,,,
South Africa,12.4,10.8,12.1,11.7,13.8,16.3,16.4,21.0,18.7,16.8,19.5,17.5,18.0,20.8,19.0,20.3,17.4,19.0,21.1,25.0,19.3,20.7,18.9,18.7,21.3,18.0,20.4,17.1,18.7,17.1,14.0,,,
Middle-East,-601.2,-607.3,-657.7,-691.9,-665.1,-668.1,-664.5,-693.1,-753.9,-713.1,-779.4,-751.5,-673.2,-744.8,-809.3,-840.4,-845.3,-830.9,-853.6,-748.8,-757.7,-867.6,-856.1,-858.9,-835.6,-870.9,-985.5,-938.5,-950.8,-879.9,-812.4,,,
Iran,-117.0,-122.2,-133.9,-137.3,-127.0,-127.1,-126.5,-116.3,-116.6,-102.6,-115.3,-104.8,-104.4,-124.3,-125.9,-128.4,-130.7,-135.2,-128.1,-115.3,-119.6,-118.0,-63.1,-58.0,-61.5,-62.8,-119.4,-121.7,-105.7,-45.2,-46.2,,,
Kuwait,-31.8,-6.3,-37.6,-73.1,-63.6,-60.5,-62.2,-57.5,-60.3,-48.1,-61.8,-63.0,-49.7,-63.1,-72.2,-84.1,-87.6,-81.9,-89.3,-68.3,-70.0,-89.4,-103.0,-102.6,-101.1,-99.6,-107.9,-102.8,-105.0,-102.2,-94.6,,,
Saudi Arabia,-240.1,-332.1,-333.4,-326.2,-310.7,-313.6,-305.3,-308.3,-318.5,-285.1,-311.7,-300.8,-263.4,-325.8,-353.2,-373.6,-363.2,-345.3,-357.6,-295.9,-290.2,-352.7,-371.3,-376.6,-354.1,-368.6,-382.5,-348.2,-368.3,-351.6,-333.6,,,
United Arab Emirates,-79.3,-92.0,-98.5,-94.8,-94.7,-94.3,-93.0,-98.6,-99.9,-86.4,-94.2,-83.3,-78.7,-92.9,-99.7,-103.5,-114.3,-113.2,-116.3,-100.2,-106.9,-122.3,-126.5,-134.5,-127.3,-124.5,-120.2,-122.8,-125.3,-130.9,-118.5,,,
n.a. : non avalaible ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141 additional countries available in our Global Energy & CO2 Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source : Enerdata www.enerdata.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"© Copyright Enerdata www.enerdata.net. Reproduction and diffusion prohibited (web, photocopy, intranet...) without written permission.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
