,Natural gas balance of trade (bcm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Back to list of tables
Globally/Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,,,
Chile,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.7,2.0,3.8,4.4,5.2,5.2,6.1,6.8,6.3,5.7,2.8,0.8,1.5,3.6,4.0,3.9,3.9,3.5,3.7,4.0,4.0,3.9,5.1,5.1,,,
Colombia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,-1.9,-1.6,-2.1,-1.9,-2.2,-1.0,-0.4,0.0,0.0,0.0,0.3,0.3,,,
Mexico,0.4,1.7,2.6,0.9,1.1,1.6,0.5,0.7,1.2,0.3,2.7,3.7,7.5,10.3,11.6,9.1,10.2,9.9,12.3,12.7,14.4,17.6,23.1,26.8,28.8,36.4,43.0,43.3,46.8,56.9,42.9,,,
Venezuela,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.2,1.5,1.9,1.9,1.6,1.9,0.8,0.4,0.0,0.0,0.0,0.0,0.0,,,
Asia,9.2,11.6,12.9,14.0,15.5,18.9,19.2,24.0,24.5,27.7,34.4,45.5,44.1,51.9,53.8,54.9,75.6,93.0,100.1,99.5,123.3,165.9,190.2,193.8,200.5,199.8,222.0,252.5,291.5,300.4,306.7,,,
China,0.0,0.0,0.0,0.0,0.0,0.0,-1.6,-2.6,-2.4,-2.7,-2.4,-2.4,-3.2,-1.9,-2.4,-3.0,-1.9,1.4,1.4,4.4,11.0,26.1,37.0,47.1,53.6,55.0,67.3,85.4,113.8,121.6,125.8,,,
India,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,3.3,6.6,8.9,10.8,10.9,12.0,12.9,18.0,17.5,17.4,18.6,21.4,24.8,27.4,28.7,31.0,33.7,,,
Indonesia,-30.2,-32.9,-34.5,-35.3,-38.7,-36.4,-38.8,-39.3,-39.3,-42.5,-39.6,-36.0,-40.9,-42.4,-42.1,-41.6,-40.6,-39.5,-39.6,-37.5,-41.2,-40.6,-37.0,-34.6,-33.3,-31.7,-29.2,-27.2,-27.1,-24.0,-24.3,,,
Japan,53.3,56.0,57.6,59.2,62.6,64.5,68.6,71.4,73.1,77.0,80.0,80.4,81.3,86.5,85.7,85.5,93.5,100.9,100.6,98.0,104.2,122.9,128.3,114.1,115.9,108.7,110.3,109.1,104.8,97.8,94.6,,,
Malaysia,-10.3,-9.8,-9.8,-11.7,-12.5,-14.5,-19.8,-21.0,-21.2,-19.3,-21.1,-21.1,-22.4,-22.4,-27.4,-27.9,-24.7,-23.3,-22.8,-23.4,-23.5,-24.9,-22.6,-23.7,-24.3,-24.1,-25.4,-28.3,-24.1,-23.7,-21.6,,,
